A_4He,E_4He,A_p,E_p
0,0,51.7103,170.883
0,0,51.8095,170.049
0,0,51.9087,169.216
0,0,52.0079,168.385
0,0,52.1072,167.554
0,0,52.2064,166.725
0,0,52.3056,165.896
0,0,52.4048,165.07
0,0,52.5041,164.245
0,0,52.6033,163.422
0,0,52.7024,162.6
0,0,52.8016,47.912
0,0,52.9008,47.3418
0,0,53,47.1276
0,0,53.0992,46.5696
0,0,53.1984,46.3719
0,0,53.2976,45.8276
0,0,53.3967,45.6476
0,0,53.4959,45.1173
0,0,53.5951,44.9559
0,0,53.6942,44.4401
0,0,53.7934,44.2967
0,0,53.8925,43.7967
0,0,53.9917,43.3002
0,0,54.0908,43.1863
0,0,54.1899,42.7048
0,0,54.289,42.6096
0,0,54.3881,42.1461
0,0,54.4872,42.0726
0,0,54.5863,41.5728
0,0,54.6854,41.4588
0,0,54.7844,40.9699
0,0,54.8835,40.8792
0,0,54.9826,40.4089
0,0,55.0816,40.3913
0,0,55.1807,40.0016
0,0,55.2798,39.6218
0,0,55.3788,39.6485
0,0,55.4779,39.2879
0,0,55.5769,39.337
0,0,55.676,38.9957
0,0,55.775,39.0671
0,0,55.874,38.7481
0,0,55.9731,38.8443
0,0,56.0721,38.546
0,0,56.1711,38.6641
0,0,56.2701,38.3875
0,0,56.3691,38.5283
0,0,56.4681,38.2738
0,0,56.5671,38.0294
0,0,56.6661,38.2055
0,0,56.765,37.9825
0,0,56.864,38.1798
0,0,56.963,37.9795
0,0,57.0619,38.2009
0,0,57.1609,38.0229
0,0,57.2598,38.2656
0,0,57.3587,38.1107
0,0,57.4577,38.3766
0,0,57.5566,38.2087
0,0,57.6554,38.4325
0,0,57.7543,38.2603
0,0,57.8532,38.0996
0,0,57.952,38.3583
0,0,58.0509,38.2519
0,0,58.1498,38.5942
0,0,58.2486,38.5413
0,0,58.3475,38.9049
0,0,58.4463,38.8745
0,0,58.5452,39.2576
0,0,58.644,39.2492
0,0,58.7428,39.6502
0,0,58.8417,39.6627
0,0,58.9405,40.0826
0,0,59.0393,40.1175
0,0,59.1381,40.5563
0,0,59.2369,40.6119
0,0,59.3356,41.0662
0,0,59.4344,41.1415
0,0,59.5332,41.2059
0,0,59.6318,41.6235
0,0,59.7305,41.6671
0,0,59.8292,42.1052
0,0,59.9279,42.1704
0,0,60.0265,42.6412
0,0,60.1252,42.7849
0,0,60.2239,43.3118
0,0,60.3226,43.4735
0,0,60.4213,44.0133
0,0,60.52,44.1923
0,0,60.6186,44.7448
0,0,60.7173,44.9412
0,0,60.8159,45.5061
0,0,60.9145,45.7182
0,0,61.0131,46.2944
0,0,61.1117,46.5199
0,0,61.2103,47.1049
0,0,61.3089,47.3461
0,0,61.4074,47.9424
0,0,61.506,48.1984
0,0,61.6046,48.8037
0,0,61.7031,49.0734
0,0,61.8016,49.6869
0,0,61.9002,49.9694
0,0,61.9987,50.2588
0,0,62.0971,50.8346
0,0,62.1955,51.0849
0,0,62.2939,51.67
0,0,62.3923,51.9344
0,0,62.4907,52.5306
0,0,62.589,52.8506
0,0,62.6874,53.5007
0,0,62.7858,53.837
