A_4He,E_4He,A_p,E_p
0,66.8593,0,528.915
0.062607,66.8597,0.079428,528.913
0.125212,66.8607,0.158857,528.909
0.187814,66.8623,0.238286,528.903
0.250412,66.8646,0.317715,528.894
0.313004,66.8676,0.397144,528.882
0.375588,66.8712,0.476574,528.868
0.438163,66.8754,0.556004,528.851
0.500728,66.8804,0.635435,528.831
0.563281,66.8859,0.714866,528.809
0.625821,66.8922,0.794298,528.784
0.688345,66.8991,0.873732,528.757
0.750853,66.9066,0.953166,528.727
0.813343,66.9149,1.032601,528.694
0.875814,66.9237,1.112037,528.659
0.938263,66.9332,1.191475,528.621
1.00069,66.9434,1.270914,528.58
1.063094,66.9543,1.350354,528.537
1.125472,66.9657,1.429795,528.492
1.187823,66.9779,1.509239,528.444
1.250146,66.9907,1.588684,528.393
1.312439,67.0042,1.66813,528.339
1.3747,67.0183,1.747579,528.283
1.436929,67.033,1.827029,528.224
1.499124,67.0485,1.906481,528.163
1.561283,67.0646,1.985936,528.099
1.623405,67.0813,2.065392,528.033
1.685488,67.0987,2.144851,527.964
1.747531,67.1167,2.224312,527.892
1.809532,67.1354,2.303776,527.818
1.871491,67.1548,2.383242,527.741
1.933405,67.1748,2.462711,527.661
1.995273,67.1955,2.542182,527.579
2.057093,67.2168,2.621656,527.495
2.118865,67.2387,2.701133,527.407
2.180587,67.2614,2.780613,527.317
2.242257,67.2846,2.860096,527.225
2.303874,67.3086,2.939582,527.13
2.365436,67.3331,3.019072,527.032
2.426942,67.3584,3.098564,526.932
2.488391,67.3843,3.17806,526.829
2.549781,67.4108,3.25756,526.724
2.611111,67.438,3.337063,526.616
2.672379,67.4658,3.416569,526.505
2.733584,67.4943,3.49608,526.392
2.794725,67.5235,3.575594,526.276
2.8558,67.5533,3.655112,526.158
2.916807,67.5837,3.734634,526.037
2.977746,67.6148,3.81416,525.913
3.038616,67.6465,3.89369,525.787
3.099413,67.6789,3.973225,525.659
3.160138,67.712,4.052764,525.527
3.220789,67.7457,4.132307,525.394
3.281364,67.78,4.211855,525.257
3.341862,67.815,4.291407,525.118
3.402283,67.8506,4.370964,524.977
3.462623,67.8869,4.450526,524.832
3.522883,67.9238,4.530092,524.686
3.58306,67.9614,4.609664,524.536
3.643154,67.9996,4.689241,524.385
3.703163,68.0385,4.768822,524.23
3.763086,68.078,4.848409,524.073
3.822922,68.1182,4.928001,523.914
3.882668,68.159,5.007599,523.752
3.942324,68.2004,5.087202,523.587
4.001889,68.2425,5.16681,523.42
4.061361,68.2852,5.246424,523.25
4.12074,68.3286,5.326044,523.078
4.180022,68.3726,5.40567,522.903
4.239209,68.4173,5.485301,522.725
4.298297,68.4626,5.564939,522.546
4.357286,68.5085,5.644582,522.363
4.416175,68.5551,5.724232,522.178
4.474963,68.6023,5.803888,521.99
4.533647,68.6502,5.88355,521.8
4.592228,68.6987,5.963218,521.608
4.650703,68.7478,6.042893,521.412
4.709071,68.7976,6.122575,521.215
4.767332,68.848,6.202263,521.014
4.825484,68.8991,6.281958,520.811
4.883526,68.9508,6.36166,520.606
4.941456,69.0031,6.441369,520.398
4.999274,69.0561,6.521085,520.188
5.056978,69.1097,6.600807,519.975
5.114567,69.1639,6.680537,519.759
5.17204,69.2188,6.760275,519.541
5.229396,69.2743,6.840019,519.321
5.286634,69.3304,6.919771,519.098
5.343752,69.3872,6.999531,518.872
5.400749,69.4446,7.079298,518.644
5.457625,69.5026,7.159072,518.414
5.514378,69.5613,7.238855,518.181
5.571006,69.6206,7.318645,517.945
5.62751,69.6805,7.398444,517.707
5.683887,69.741,7.47825,517.467
5.740138,69.8022,7.558064,517.224
5.796259,69.864,7.637887,516.978
5.852251,69.9265,7.717718,516.73
5.908113,69.9895,7.797557,516.48
5.963843,70.0532,7.877405,516.227
6.019441,70.1175,7.957261,515.971
6.074904,70.1825,8.037126,515.713
6.130233,70.248,8.117,515.453
6.185426,70.3142,8.196882,515.19
6.240483,70.381,8.276773,514.924
6.295401,70.4485,8.356674,514.656
6.350181,70.5165,8.436583,514.386
6.404821,70.5852,8.516501,514.113
6.459321,70.6545,8.596429,513.838
6.513678,70.7244,8.676366,513.56
6.567893,70.7949,8.756312,513.28
6.621964,70.8661,8.836268,512.997
6.67589,70.9378,8.916233,512.712
6.729671,71.0102,8.996208,512.425
6.783305,71.0832,9.076193,512.135
6.836792,71.1569,9.156187,511.842
6.89013,71.2311,9.236191,511.547
6.943319,71.3059,9.316206,511.25
6.996358,71.3814,9.39623,510.95
7.049246,71.4575,9.476265,510.648
7.101982,71.5341,9.556309,510.343
7.154564,71.6114,9.636364,510.036
7.206993,71.6893,9.71643,509.727
7.259268,71.7679,9.796506,509.415
7.311387,71.847,9.876592,509.101
7.36335,71.9267,9.95669,508.784
7.415155,72.007,10.036798,508.465
7.466802,72.088,10.116916,508.143
7.518291,72.1695,10.197046,507.819
7.56962,72.2517,10.277187,507.493
7.620789,72.3344,10.357338,507.164
7.671796,72.4178,10.437501,506.833
7.722642,72.5018,10.517675,506.499
7.773324,72.5863,10.597861,506.163
7.823843,72.6715,10.678058,505.825
7.874198,72.7573,10.758266,505.484
7.924388,72.8436,10.838486,505.141
7.974411,72.9306,10.918718,504.796
8.024269,73.0181,10.998961,504.448
8.073959,73.1063,11.079216,504.098
8.123481,73.195,11.159483,503.745
8.172834,73.2844,11.239762,503.39
8.222018,73.3743,11.320054,503.033
8.271031,73.4648,11.400357,502.673
8.319874,73.556,11.480673,502.311
