A_4He,E_4He,A_p,E_p
0,0,51.7701,194.501
0,0,51.8709,193.527
0,0,51.9716,192.555
0,0,52.0723,191.585
0,0,52.1731,190.617
0,0,52.2739,189.65
0,0,52.3746,188.684
0,0,52.4754,187.721
0,0,52.5762,186.76
0,0,52.6769,185.8
0,0,52.7777,184.842
0,0,52.8785,183.886
0,0,52.9792,182.932
0,0,53.08,181.979
0,0,53.1808,181.028
0,0,53.2816,180.079
0,0,53.3824,82.1636
0,0,53.4832,81.4712
0,0,53.584,81.0186
0,0,53.6848,80.3361
0,0,53.7856,79.896
0,0,53.8865,79.2247
0,0,53.9873,78.797
0,0,54.0881,78.136
0,0,54.189,77.721
0,0,54.2898,77.07
0,0,54.3907,76.6686
0,0,54.4915,76.0288
0,0,54.5924,75.3565
0,0,54.6933,74.9355
0,0,54.7942,74.2721
0,0,54.8951,73.8666
0,0,54.996,73.2168
0,0,55.0969,72.8654
0,0,55.1978,72.2689
0,0,55.2987,71.9356
0,0,55.3996,71.3533
0,0,55.5005,71.0351
0,0,55.6014,70.4659
0,0,55.7024,70.1631
0,0,55.8033,69.6083
0,0,55.9042,69.0592
0,0,56.0051,68.7813
0,0,56.1061,68.2456
0,0,56.2071,67.9834
0,0,56.3081,67.4619
0,0,56.409,67.2161
0,0,56.51,66.7089
0,0,56.611,66.4783
0,0,56.712,65.9854
0,0,56.813,65.7739
0,0,56.914,65.2994
0,0,57.0149,65.1074
0,0,57.116,64.6484
0,0,57.217,64.1978
0,0,57.318,64.0335
0,0,57.419,63.6002
0,0,57.52,63.4466
0,0,57.6211,62.9829
0,0,57.7222,62.8106
0,0,57.8233,62.3654
0,0,57.9244,62.213
0,0,58.0255,61.7968
0,0,58.1266,61.7077
0,0,58.2277,61.3424
0,0,58.3288,61.2744
0,0,58.4298,60.9281
0,0,58.5309,60.5897
0,0,58.6321,60.5503
0,0,58.7332,60.2303
0,0,58.8343,60.2115
0,0,58.9355,59.9102
0,0,59.0366,59.91
