p_theta,he6_theta
0.0389987,0.0185639
0.0779974,0.0371278
0.116996,0.0556913
0.155995,0.0742549
0.194994,0.0928178
0.233993,0.111381
0.272992,0.129943
0.311991,0.148505
0.35099,0.167065
0.389989,0.185626
0.428988,0.204185
0.467988,0.222744
0.506988,0.241301
0.545987,0.259858
0.584987,0.278412
0.623987,0.296967
0.662988,0.315519
0.701988,0.334071
0.740989,0.35262
0.77999,0.371169
0.818991,0.389715
0.857993,0.408261
0.896995,0.426803
0.935996,0.445345
0.974999,0.463883
1.014,0.482421
1.053,0.500955
1.09201,0.519489
1.13101,0.538018
1.17002,0.556548
1.20902,0.575072
1.24802,0.593596
1.28703,0.612116
1.32603,0.630635
1.36504,0.649148
1.40405,0.667662
1.44305,0.686169
1.48206,0.704677
1.52107,0.723178
1.56008,0.74168
1.59908,0.760174
1.63809,0.778669
1.6771,0.797157
1.71611,0.815645
1.75512,0.834125
1.79413,0.852606
1.83315,0.871079
1.87216,0.889552
1.91117,0.908017
1.95018,0.926483
1.9892,0.94494
2.02821,0.963397
2.06723,0.981845
2.10624,1.00029
2.14526,1.01873
2.18428,1.03717
2.2233,1.0556
2.26231,1.07403
2.30133,1.09245
2.34035,1.11088
2.37937,1.12929
2.4184,1.1477
2.45742,1.1661
2.49644,1.1845
2.53546,1.20289
2.57449,1.22128
2.61351,1.23966
2.65254,1.25804
2.69157,1.27641
2.73059,1.29478
2.76962,1.31313
2.80865,1.33149
2.84768,1.34984
2.88671,1.36818
2.92575,1.38652
2.96478,1.40485
3.00381,1.42317
3.04285,1.44149
3.08188,1.4598
3.12092,1.47811
3.15996,1.4964
3.19899,1.5147
3.23803,1.53298
3.27707,1.55126
3.31612,1.56953
3.35516,1.5878
3.3942,1.60605
3.43325,1.62431
3.47229,1.64255
3.51134,1.66079
3.55039,1.67901
3.58943,1.69724
3.62849,1.71545
3.66754,1.73366
3.70659,1.75185
3.74564,1.77005
3.7847,1.78823
3.82375,1.80641
3.86281,1.82457
3.90187,1.84273
3.94093,1.86088
3.97999,1.87903
4.01905,1.89716
4.05811,1.91529
4.09717,1.9334
4.13624,1.95152
4.17531,1.96961
4.21437,1.98771
4.25344,2.00579
4.29251,2.02387
4.33159,2.04193
4.37066,2.05999
4.40973,2.07804
4.44881,2.09608
4.48789,2.11411
4.52696,2.13213
4.56604,2.15014
4.60513,2.16815
4.64421,2.18613
4.68329,2.20412
4.72238,2.22209
4.76146,2.24006
4.80055,2.25801
4.83964,2.27595
4.87874,2.29388
4.91783,2.31181
4.95692,2.32972
4.99602,2.34763
5.03512,2.36552
5.07421,2.38341
5.11332,2.40127
5.15242,2.41914
5.19152,2.43699
5.23063,2.45483
5.26973,2.47266
5.30884,2.49048
5.34795,2.50829
5.38706,2.52609
5.42618,2.54387
5.46529,2.56165
5.50441,2.57941
5.54353,2.59717
5.58265,2.61491
5.62177,2.63264
5.66089,2.65036
5.70002,2.66807
5.73915,2.68576
5.77827,2.70345
5.81741,2.72112
5.85654,2.73879
5.89567,2.75643
5.93481,2.77407
5.97395,2.79169
6.01309,2.80931
6.05223,2.8269
6.09137,2.8445
6.13052,2.86207
6.16966,2.87964
6.20881,2.89718
6.24796,2.91473
6.28712,2.93225
6.32627,2.94977
6.36543,2.96726
6.40458,2.98476
6.44375,3.00223
6.48291,3.0197
6.52207,3.03714
6.56124,3.05458
6.60041,3.072
6.63958,3.08941
6.67875,3.1068
6.71793,3.12419
6.7571,3.14156
6.79628,3.15892
6.83546,3.17625
