tke,eff_theta,meas_theta,de_target,de_chamber,de_air
195.963,49,48.7295,1.21223,0.0517868,0.449086
191.629,49.5,49.2262,1.23047,0.052577,0.454853
187.326,50,49.7228,1.24858,0.0533616,0.460639
183.053,50.5,50.2192,1.26656,0.0541407,0.466348
178.813,51,50.7156,1.28593,0.0549942,0.472739
174.606,51.5,51.2118,1.41641,0.055816,0.479758
170.433,52,51.708,1.43952,0.0567327,0.486727
166.295,52.5,52.2041,1.46537,0.0577094,0.494237
162.193,53,52.7,1.49104,0.0586774,0.501644
158.128,53.5,53.1958,1.51785,0.0597464,0.510073
154.101,54,53.6915,1.54516,0.0608272,0.518499
150.113,54.5,54.1871,1.5729,0.0619452,0.527292
146.163,55,54.6824,1.7277,0.0630519,0.537007
142.254,55.5,55.1777,1.76067,0.0642263,0.546288
138.387,56,55.6728,1.79609,0.0655723,0.557252
134.561,56.5,56.1678,1.83268,0.0669287,0.568146
130.777,57,56.6626,1.86938,0.0683302,0.579544
127.038,57.5,57.1572,1.9112,0.0698593,0.591984
123.343,58,57.6515,2.09314,0.0712931,0.604732
119.692,58.5,58.1457,2.13965,0.0729437,0.618504
116.087,59,58.6397,2.18974,0.0746521,0.632423
112.528,59.5,59.1336,2.23918,0.0763385,0.646525
109.016,60,59.6272,2.29433,0.0782878,0.662747
105.552,60.5,60.1202,2.51128,0.0801698,0.679653
102.135,61,60.6133,2.57314,0.0821433,0.69661
98.7674,61.5,61.1061,2.64205,0.0844392,0.715759
95.4489,62,61.5987,2.71287,0.0867033,0.734949
92.1803,62.5,62.0905,2.95904,0.0890139,0.756358
88.962,63,62.5823,3.04623,0.0917428,0.779544
85.7948,63.5,63.0738,3.13686,0.0944324,0.802395
82.6791,64,63.5644,3.41912,0.097212,0.82855
79.6152,64.5,64.0551,3.52608,0.100462,0.856436
76.6038,65,64.5453,3.63867,0.103663,0.883926
73.6452,65.5,65.0343,3.96171,0.106913,0.91483
70.7401,66,65.5235,4.08559,0.110747,0.948055
67.8886,66.5,66.0121,4.221,0.11482,0.98435
65.0915,67,66.4989,4.61791,0.11931,1.02586
62.3489,67.5,66.986,4.79904,0.124148,1.06884
59.6614,68,67.471,5.23429,0.12943,1.11969
57.0293,68.5,67.9563,5.43399,0.135383,1.17224
54.4531,69,68.4405,5.65512,0.141531,1.22781
51.9331,69.5,68.9217,6.20258,0.148342,1.29184
49.4696,70,69.403,6.49637,0.156031,1.36334
47.063,70.5,69.8802,7.14204,0.164821,1.45037
44.7134,71,70.3547,7.8381,0.175973,1.55355
42.4214,71.5,70.8294,8.23016,0.186835,1.65841
40.1872,72,71.2966,9.07654,0.201255,1.79744
38.011,72.5,71.7634,9.61167,0.216277,1.94634
35.8932,73,72.2175,10.7052,0.23868,2.17489
33.8341,73.5,72.6593,11.9973,0.267762,2.47734
31.8339,74,73.0808,13.562,0.308291,2.93096
