A_p,CM angle
0.0397165,179.91
0.0794329,179.82
0.119149,179.73
0.158866,179.64
0.198583,179.55
0.238299,179.46
0.278016,179.37
0.317733,179.28
0.357449,179.19
0.397166,179.1
0.436883,179.01
0.476601,178.92
0.516318,178.83
0.556035,178.74
0.595753,178.65
0.635471,178.56
0.675189,178.47
0.714907,178.38
0.754625,178.29
0.794344,178.2
0.834062,178.11
0.873781,178.02
0.913501,177.93
0.95322,177.84
0.99294,177.75
1.03266,177.66
1.07238,177.57
1.1121,177.48
1.15182,177.39
1.19154,177.3
1.23126,177.21
1.27099,177.12
1.31071,177.03
1.35043,176.94
1.39015,176.85
1.42988,176.76
1.4696,176.67
1.50932,176.58
1.54905,176.49
1.58877,176.4
1.6285,176.31
1.66822,176.22
1.70795,176.13
1.74768,176.04
1.78741,175.95
1.82713,175.86
1.86686,175.77
1.90659,175.68
1.94632,175.59
1.98605,175.5
2.02578,175.41
2.06551,175.32
2.10524,175.23
2.14497,175.14
2.18471,175.05
2.22444,174.96
2.26417,174.87
2.30391,174.78
2.34364,174.69
2.38338,174.6
2.42311,174.51
2.46285,174.42
2.50259,174.33
2.54233,174.24
2.58207,174.15
2.62181,174.06
2.66155,173.97
2.70129,173.88
2.74103,173.79
2.78077,173.7
2.82051,173.61
2.86026,173.52
2.9,173.43
2.93975,173.34
2.9795,173.25
3.01924,173.16
3.05899,173.07
3.09874,172.98
3.13849,172.89
3.17824,172.8
3.21799,172.71
3.25774,172.62
3.2975,172.53
3.33725,172.44
3.37701,172.35
3.41676,172.26
3.45652,172.17
3.49628,172.08
3.53604,171.99
3.5758,171.9
3.61556,171.81
3.65532,171.72
3.69508,171.63
3.73485,171.54
3.77461,171.45
3.81438,171.36
3.85414,171.27
3.89391,171.18
3.93368,171.09
3.97345,171
4.01322,170.91
4.05299,170.82
4.09277,170.73
4.13254,170.64
4.17232,170.55
4.21209,170.46
4.25187,170.37
4.29165,170.28
4.33143,170.19
4.37121,170.1
4.41099,170.01
