E,de/dx_elec,de/dx_nuc,de/dx_tot
1,4.73E+01,3.39E-02,47.29394
1.1,4.47E+01,3.13E-02,44.71129
1.2,4.21E+01,2.91E-02,42.11905
1.3,3.99E+01,2.71E-02,39.96713
1.4,3.81E+01,2.55E-02,38.08546
1.5,3.64E+01,2.40E-02,36.38399
1.6,3.48E+01,2.27E-02,34.85269
1.7,3.34E+01,2.15E-02,33.46154
1.8,3.22E+01,2.05E-02,32.1905
2,2.99E+01,1.87E-02,29.94872
2.25,2.76E+01,1.69E-02,27.6069
2.5,2.56E+01,1.54E-02,25.64542
2.75,2.40E+01,1.42E-02,23.97419
3,2.25E+01,1.32E-02,22.53316
3.25,2.13E+01,1.23E-02,21.28227
3.5,2.02E+01,1.15E-02,20.1715
3.75,1.92E+01,1.08E-02,19.18082
4,1.83E+01,1.02E-02,18.30023
4.5,1.68E+01,9.22E-03,16.789222
5,1.55E+01,8.41E-03,15.528405
5.5,1.45E+01,7.73E-03,14.467728
6,1.35E+01,7.16E-03,13.547157
6.5,1.28E+01,6.67E-03,12.756668
7,1.21E+01,6.24E-03,12.066244
8,1.09E+01,5.55E-03,10.895547
9,9.95E+00,5.00E-03,9.956996
10,9.18E+00,4.55E-03,9.181549
11,8.52E+00,4.18E-03,8.528179
12,7.97E+00,3.87E-03,7.971867
13,7.49E+00,3.60E-03,7.4896
14,7.07E+00,3.37E-03,7.06937
15,6.69E+00,3.17E-03,6.697168
16,6.36E+00,2.99E-03,6.36699
17,6.07E+00,2.83E-03,6.071832
18,5.80E+00,2.69E-03,5.804691
20,5.34E+00,2.45E-03,5.342448
22.5,4.87E+00,2.20E-03,4.869202
25,4.48E+00,2.00E-03,4.481003
27.5,4.15E+00,1.84E-03,4.155838
30,3.88E+00,1.70E-03,3.880699
32.5,3.64E+00,1.58E-03,3.643581
35,3.44E+00,1.48E-03,3.436478
37.5,3.25E+00,1.39E-03,3.255389
40,3.09E+00,1.31E-03,3.09431
45,2.82E+00,1.18E-03,2.822178
50,2.60E+00,1.07E-03,2.60007
55,2.41E+00,9.82E-04,2.4149818
60,2.26E+00,9.07E-04,2.2579072
65,2.12E+00,8.44E-04,2.1238436
70,2.01E+00,7.89E-04,2.0067886
80,1.81E+00,6.98E-04,1.8146983
90,1.66E+00,6.27E-04,1.6616272
100,1.54E+00,5.70E-04,1.5375698
110,1.43E+00,5.22E-04,1.4345223
120,1.35E+00,4.82E-04,1.3484824
130,1.27E+00,4.48E-04,1.2744483
140,1.21E+00,4.19E-04,1.2104189
150,1.15E+00,3.93E-04,1.1543933
160,1.10E+00,3.71E-04,1.1043707
170,1.06E+00,3.51E-04,1.0603507
180,1.02E+00,3.33E-04,1.0213328
200,9.54E-01,3.02E-04,0.9546021
225,8.87E-01,2.71E-04,0.8869712
250,8.32E-01,2.46E-04,0.8325461
275,7.88E-01,2.26E-04,0.7877255
300,7.50E-01,2.08E-04,0.7503081
325,7.18E-01,1.93E-04,0.7185933
350,6.91E-01,1.81E-04,0.6913806
375,6.68E-01,1.70E-04,0.6678695
400,6.47E-01,1.60E-04,0.6473597
450,6.13E-01,1.43E-04,0.6132432
500,5.86E-01,1.30E-04,0.58623
550,5.64E-01,1.19E-04,0.564419
600,5.46E-01,1.10E-04,0.5464098
