E,dE/dx (elec),dE/dx (nuc),dE/dx (tot)
1,2.67E+01,1.97E-02,2.67E+01
1.1,2.53E+01,1.81E-02,2.53E+01
1.2,2.40E+01,1.68E-02,2.40E+01
1.3,2.27E+01,1.57E-02,2.27E+01
1.4,2.15E+01,1.47E-02,2.15E+01
1.5,2.05E+01,1.38E-02,2.05E+01
1.6,1.95E+01,1.31E-02,1.95E+01
1.7,1.87E+01,1.24E-02,1.87E+01
1.8,1.79E+01,1.18E-02,1.79E+01
2,1.66E+01,1.07E-02,1.66E+01
2.25,1.52E+01,9.66E-03,1.52E+01
2.5,1.40E+01,8.80E-03,1.40E+01
2.75,1.30E+01,8.08E-03,1.30E+01
3,1.22E+01,7.48E-03,1.22E+01
3.25,1.14E+01,6.97E-03,1.14E+01
3.5,1.08E+01,6.52E-03,1.08E+01
3.75,1.02E+01,6.13E-03,1.02E+01
4,9.73E+00,5.79E-03,9.74E+00
4.5,8.87E+00,5.21E-03,8.88E+00
5,8.16E+00,4.74E-03,8.16E+00
5.5,7.57E+00,4.35E-03,7.57E+00
6,7.06E+00,4.03E-03,7.06E+00
6.5,6.62E+00,3.75E-03,6.62E+00
7,6.24E+00,3.51E-03,6.24E+00
8,5.61E+00,3.11E-03,5.61E+00
9,5.10E+00,2.80E-03,5.10E+00
10,4.68E+00,2.54E-03,4.68E+00
11,4.33E+00,2.33E-03,4.33E+00
12,4.04E+00,2.16E-03,4.04E+00
13,3.78E+00,2.01E-03,3.78E+00
14,3.56E+00,1.88E-03,3.56E+00
15,3.37E+00,1.76E-03,3.37E+00
16,3.19E+00,1.66E-03,3.19E+00
17,3.04E+00,1.57E-03,3.04E+00
18,2.90E+00,1.49E-03,2.90E+00
20,2.66E+00,1.36E-03,2.66E+00
22.5,2.42E+00,1.22E-03,2.42E+00
25,2.22E+00,1.11E-03,2.22E+00
27.5,2.05E+00,1.02E-03,2.05E+00
30,1.91E+00,9.38E-04,1.91E+00
32.5,1.79E+00,8.72E-04,1.79E+00
35,1.69E+00,8.15E-04,1.69E+00
37.5,1.59E+00,7.65E-04,1.59E+00
40,1.51E+00,7.21E-04,1.51E+00
45,1.38E+00,6.47E-04,1.38E+00
50,1.26E+00,5.88E-04,1.26E+00
55,1.17E+00,5.39E-04,1.17E+00
60,1.09E+00,4.97E-04,1.09E+00
65,1.03E+00,4.62E-04,1.03E+00
70,9.70E-01,4.32E-04,9.70E-01
80,8.74E-01,3.82E-04,8.74E-01
90,7.99E-01,3.43E-04,7.99E-01
100,7.38E-01,3.11E-04,7.38E-01
110,6.88E-01,2.85E-04,6.88E-01
120,6.45E-01,2.63E-04,6.45E-01
130,6.09E-01,2.44E-04,6.09E-01
140,5.78E-01,2.28E-04,5.78E-01
150,5.51E-01,2.14E-04,5.51E-01
160,5.27E-01,2.02E-04,5.27E-01
170,5.05E-01,1.91E-04,5.05E-01
180,4.86E-01,1.81E-04,4.86E-01
200,4.54E-01,1.64E-04,4.54E-01
225,4.21E-01,1.47E-04,4.21E-01
250,3.94E-01,1.33E-04,3.94E-01
275,3.73E-01,1.22E-04,3.73E-01
300,3.55E-01,1.13E-04,3.55E-01
