E,dE/dx (elec),dE/dx (nuc),dE/dx (tot)
1,2.76E-02,1.86E-05,2.76E-02
1.1,2.60E-02,1.71E-05,2.60E-02
1.2,2.45E-02,1.59E-05,2.45E-02
1.3,2.32E-02,1.48E-05,2.32E-02
1.4,2.20E-02,1.39E-05,2.20E-02
1.5,2.10E-02,1.31E-05,2.10E-02
1.6,2.01E-02,1.24E-05,2.01E-02
1.7,1.92E-02,1.17E-05,1.92E-02
1.8,1.85E-02,1.11E-05,1.85E-02
2,1.71E-02,1.02E-05,1.71E-02
2.25,1.57E-02,9.16E-06,1.57E-02
2.5,1.46E-02,8.35E-06,1.46E-02
2.75,1.36E-02,7.68E-06,1.36E-02
3,1.28E-02,7.11E-06,1.28E-02
3.25,1.20E-02,6.62E-06,1.20E-02
3.5,1.14E-02,6.20E-06,1.14E-02
3.75,1.08E-02,5.84E-06,1.08E-02
4,1.03E-02,5.51E-06,1.03E-02
4.5,9.38E-03,4.96E-06,9.39E-03
5,8.65E-03,4.52E-06,8.66E-03
5.5,8.04E-03,4.15E-06,8.04E-03
6,7.51E-03,3.84E-06,7.51E-03
6.5,7.06E-03,3.58E-06,7.06E-03
7,6.66E-03,3.35E-06,6.66E-03
8,5.99E-03,2.97E-06,5.99E-03
9,5.46E-03,2.67E-06,5.46E-03
10,5.02E-03,2.43E-06,5.02E-03
11,4.65E-03,2.23E-06,4.65E-03
12,4.33E-03,2.07E-06,4.34E-03
13,4.06E-03,1.92E-06,4.07E-03
14,3.83E-03,1.80E-06,3.83E-03
15,3.62E-03,1.69E-06,3.62E-03
16,3.44E-03,1.59E-06,3.44E-03
17,3.27E-03,1.51E-06,3.27E-03
18,3.13E-03,1.43E-06,3.13E-03
20,2.87E-03,1.30E-06,2.87E-03
22.5,2.61E-03,1.17E-06,2.61E-03
25,2.40E-03,1.06E-06,2.40E-03
27.5,2.22E-03,9.76E-07,2.22E-03
30,2.07E-03,9.02E-07,2.07E-03
32.5,1.94E-03,8.38E-07,1.94E-03
35,1.83E-03,7.84E-07,1.83E-03
37.5,1.73E-03,7.36E-07,1.73E-03
40,1.64E-03,6.94E-07,1.64E-03
45,1.49E-03,6.23E-07,1.49E-03
50,1.37E-03,5.66E-07,1.37E-03
55,1.27E-03,5.19E-07,1.27E-03
60,1.19E-03,4.79E-07,1.19E-03
65,1.12E-03,4.46E-07,1.12E-03
70,1.06E-03,4.16E-07,1.06E-03
80,9.52E-04,3.69E-07,9.53E-04
90,8.71E-04,3.31E-07,8.71E-04
100,8.05E-04,3.00E-07,8.05E-04
110,7.51E-04,2.75E-07,7.51E-04
120,7.05E-04,2.54E-07,7.05E-04
130,6.65E-04,2.36E-07,6.66E-04
140,6.31E-04,2.21E-07,6.32E-04
150,6.02E-04,2.07E-07,6.02E-04
160,5.76E-04,1.95E-07,5.76E-04
170,5.53E-04,1.84E-07,5.53E-04
180,5.32E-04,1.75E-07,5.32E-04
200,4.97E-04,1.59E-07,4.97E-04
225,4.61E-04,1.42E-07,4.61E-04
250,4.33E-04,1.29E-07,4.33E-04
275,4.09E-04,1.18E-07,4.09E-04
300,3.89E-04,1.09E-07,3.90E-04
325,3.73E-04,1.01E-07,3.73E-04
350,3.59E-04,9.47E-08,3.59E-04
375,3.46E-04,8.88E-08,3.46E-04
400,3.36E-04,8.37E-08,3.36E-04
450,3.18E-04,7.50E-08,3.18E-04
500,3.04E-04,6.80E-08,3.04E-04
550,2.92E-04,6.23E-08,2.92E-04
600,2.83E-04,5.74E-08,2.83E-04
