E,dE/dx (elec),dE/dx (nuc),dE/dx (tot)
1,2.63E-02,1.78E-05,2.63E-02
1.1,2.48E-02,1.64E-05,2.48E-02
1.2,2.33E-02,1.52E-05,2.34E-02
1.3,2.21E-02,1.42E-05,2.21E-02
1.4,2.10E-02,1.33E-05,2.10E-02
1.5,2.00E-02,1.25E-05,2.00E-02
1.6,1.91E-02,1.18E-05,1.92E-02
1.7,1.83E-02,1.12E-05,1.84E-02
1.8,1.76E-02,1.07E-05,1.76E-02
2,1.63E-02,9.72E-06,1.63E-02
2.25,1.50E-02,8.76E-06,1.50E-02
2.5,1.39E-02,7.99E-06,1.39E-02
2.75,1.30E-02,7.35E-06,1.30E-02
3,1.22E-02,6.80E-06,1.22E-02
3.25,1.15E-02,6.34E-06,1.15E-02
3.5,1.09E-02,5.94E-06,1.09E-02
3.75,1.03E-02,5.58E-06,1.03E-02
4,9.81E-03,5.27E-06,9.81E-03
4.5,8.96E-03,4.75E-06,8.97E-03
5,8.27E-03,4.33E-06,8.27E-03
5.5,7.68E-03,3.97E-06,7.68E-03
6,7.18E-03,3.68E-06,7.18E-03
6.5,6.74E-03,3.42E-06,6.75E-03
7,6.36E-03,3.21E-06,6.37E-03
8,5.73E-03,2.84E-06,5.73E-03
9,5.22E-03,2.56E-06,5.22E-03
10,4.80E-03,2.33E-06,4.80E-03
11,4.45E-03,2.14E-06,4.45E-03
12,4.15E-03,1.98E-06,4.15E-03
13,3.89E-03,1.84E-06,3.89E-03
14,3.66E-03,1.72E-06,3.67E-03
15,3.47E-03,1.62E-06,3.47E-03
16,3.29E-03,1.53E-06,3.29E-03
17,3.13E-03,1.44E-06,3.13E-03
18,2.99E-03,1.37E-06,2.99E-03
20,2.75E-03,1.25E-06,2.75E-03
22.5,2.50E-03,1.12E-06,2.50E-03
25,2.29E-03,1.02E-06,2.30E-03
27.5,2.12E-03,9.35E-07,2.12E-03
30,1.98E-03,8.64E-07,1.98E-03
32.5,1.86E-03,8.03E-07,1.86E-03
35,1.75E-03,7.51E-07,1.75E-03
37.5,1.66E-03,7.05E-07,1.66E-03
40,1.57E-03,6.65E-07,1.57E-03
45,1.43E-03,5.97E-07,1.43E-03
50,1.32E-03,5.43E-07,1.32E-03
55,1.22E-03,4.97E-07,1.22E-03
60,1.14E-03,4.59E-07,1.14E-03
65,1.07E-03,4.27E-07,1.07E-03
70,1.01E-03,3.99E-07,1.01E-03
80,9.13E-04,3.53E-07,9.13E-04
90,8.35E-04,3.17E-07,8.35E-04
100,7.72E-04,2.88E-07,7.72E-04
110,7.19E-04,2.64E-07,7.20E-04
120,6.75E-04,2.43E-07,6.76E-04
130,6.38E-04,2.26E-07,6.38E-04
140,6.05E-04,2.11E-07,6.05E-04
150,5.77E-04,1.98E-07,5.77E-04
160,5.52E-04,1.87E-07,5.52E-04
170,5.30E-04,1.77E-07,5.30E-04
180,5.10E-04,1.68E-07,5.10E-04
200,4.76E-04,1.52E-07,4.76E-04
225,4.42E-04,1.37E-07,4.42E-04
250,4.15E-04,1.24E-07,4.15E-04
275,3.92E-04,1.13E-07,3.92E-04
300,3.73E-04,1.05E-07,3.74E-04
325,3.58E-04,9.72E-08,3.58E-04
350,3.44E-04,9.07E-08,3.44E-04
375,3.32E-04,8.51E-08,3.32E-04
400,3.22E-04,8.02E-08,3.22E-04
450,3.05E-04,7.19E-08,3.05E-04
500,2.91E-04,6.52E-08,2.91E-04
550,2.80E-04,5.97E-08,2.80E-04
600,2.71E-04,5.51E-08,2.71E-04
