E,dE/dx (elec),dE/dx (nuc),dE/dx (tot)
1,3.51E+01,2.95E-02,3.51E+01
1.1,3.38E+01,2.73E-02,3.38E+01
1.2,3.25E+01,2.54E-02,3.25E+01
1.3,3.13E+01,2.38E-02,3.13E+01
1.4,3.02E+01,2.24E-02,3.02E+01
1.5,2.92E+01,2.11E-02,2.92E+01
1.6,2.82E+01,2.00E-02,2.82E+01
1.7,2.73E+01,1.90E-02,2.73E+01
1.8,2.65E+01,1.82E-02,2.65E+01
2,2.50E+01,1.66E-02,2.50E+01
2.25,2.33E+01,1.51E-02,2.33E+01
2.5,2.19E+01,1.38E-02,2.19E+01
2.75,2.06E+01,1.27E-02,2.06E+01
3,1.95E+01,1.18E-02,1.95E+01
3.25,1.86E+01,1.10E-02,1.86E+01
3.5,1.77E+01,1.04E-02,1.77E+01
3.75,1.70E+01,9.77E-03,1.70E+01
4,1.63E+01,9.25E-03,1.63E+01
4.5,1.51E+01,8.36E-03,1.51E+01
5,1.40E+01,7.64E-03,1.40E+01
5.5,1.32E+01,7.04E-03,1.32E+01
6,1.24E+01,6.53E-03,1.24E+01
6.5,1.18E+01,6.09E-03,1.18E+01
7,1.12E+01,5.71E-03,1.12E+01
8,1.02E+01,5.09E-03,1.02E+01
9,9.39E+00,4.59E-03,9.39E+00
10,8.72E+00,4.19E-03,8.72E+00
11,8.15E+00,3.86E-03,8.15E+00
12,7.66E+00,3.57E-03,7.66E+00
13,7.23E+00,3.33E-03,7.23E+00
14,6.85E+00,3.12E-03,6.85E+00
15,6.52E+00,2.94E-03,6.52E+00
16,6.22E+00,2.78E-03,6.22E+00
17,5.95E+00,2.63E-03,5.95E+00
18,5.70E+00,2.50E-03,5.70E+00
20,5.28E+00,2.28E-03,5.28E+00
22.5,4.84E+00,2.06E-03,4.84E+00
25,4.47E+00,1.87E-03,4.47E+00
27.5,4.16E+00,1.72E-03,4.16E+00
30,3.90E+00,1.59E-03,3.90E+00
32.5,3.68E+00,1.48E-03,3.68E+00
35,3.48E+00,1.39E-03,3.48E+00
37.5,3.30E+00,1.31E-03,3.30E+00
40,3.15E+00,1.23E-03,3.15E+00
45,2.88E+00,1.11E-03,2.88E+00
50,2.66E+00,1.01E-03,2.66E+00
55,2.48E+00,9.28E-04,2.48E+00
60,2.33E+00,8.58E-04,2.33E+00
65,2.19E+00,7.99E-04,2.19E+00
70,2.08E+00,7.47E-04,2.08E+00
80,1.89E+00,6.63E-04,1.89E+00
90,1.73E+00,5.96E-04,1.73E+00
100,1.61E+00,5.42E-04,1.61E+00
110,1.50E+00,4.97E-04,1.50E+00
120,1.42E+00,4.60E-04,1.42E+00
130,1.34E+00,4.28E-04,1.34E+00
140,1.27E+00,4.00E-04,1.27E+00
150,1.22E+00,3.76E-04,1.22E+00
160,1.17E+00,3.55E-04,1.17E+00
170,1.12E+00,3.36E-04,1.12E+00
180,1.08E+00,3.19E-04,1.08E+00
200,1.01E+00,2.90E-04,1.01E+00
