E,dE/dx (elec),dE/dx (nuc),dE/dx (tot)
1,2.92E+01,2.13E-02,2.92E+01
1.1,2.77E+01,1.96E-02,2.77E+01
1.2,2.62E+01,1.82E-02,2.62E+01
1.3,2.47E+01,1.69E-02,2.47E+01
1.4,2.35E+01,1.59E-02,2.35E+01
1.5,2.23E+01,1.49E-02,2.23E+01
1.6,2.13E+01,1.41E-02,2.13E+01
1.7,2.04E+01,1.34E-02,2.04E+01
1.8,1.95E+01,1.27E-02,1.95E+01
2,1.81E+01,1.16E-02,1.81E+01
2.25,1.65E+01,1.04E-02,1.66E+01
2.5,1.53E+01,9.51E-03,1.53E+01
2.75,1.42E+01,8.74E-03,1.42E+01
3,1.33E+01,8.09E-03,1.33E+01
3.25,1.25E+01,7.53E-03,1.25E+01
3.5,1.18E+01,7.05E-03,1.18E+01
3.75,1.12E+01,6.63E-03,1.12E+01
4,1.06E+01,6.26E-03,1.06E+01
4.5,9.69E+00,5.64E-03,9.70E+00
5,8.92E+00,5.13E-03,8.93E+00
5.5,8.27E+00,4.71E-03,8.28E+00
6,7.72E+00,4.36E-03,7.72E+00
6.5,7.24E+00,4.05E-03,7.25E+00
7,6.82E+00,3.79E-03,6.83E+00
8,6.13E+00,3.36E-03,6.13E+00
9,5.58E+00,3.02E-03,5.58E+00
10,5.12E+00,2.75E-03,5.12E+00
11,4.74E+00,2.52E-03,4.74E+00
12,4.42E+00,2.33E-03,4.42E+00
13,4.14E+00,2.17E-03,4.14E+00
14,3.89E+00,2.03E-03,3.90E+00
15,3.68E+00,1.91E-03,3.68E+00
16,3.49E+00,1.80E-03,3.49E+00
17,3.32E+00,1.70E-03,3.32E+00
18,3.17E+00,1.62E-03,3.17E+00
20,2.91E+00,1.47E-03,2.91E+00
22.5,2.64E+00,1.32E-03,2.64E+00
25,2.43E+00,1.20E-03,2.43E+00
27.5,2.24E+00,1.10E-03,2.24E+00
30,2.09E+00,1.02E-03,2.09E+00
32.5,1.96E+00,9.43E-04,1.96E+00
35,1.84E+00,8.82E-04,1.84E+00
37.5,1.74E+00,8.28E-04,1.74E+00
40,1.66E+00,7.80E-04,1.66E+00
45,1.51E+00,7.01E-04,1.51E+00
50,1.38E+00,6.36E-04,1.38E+00
55,1.28E+00,5.83E-04,1.28E+00
60,1.20E+00,5.38E-04,1.20E+00
65,1.12E+00,5.00E-04,1.12E+00
70,1.06E+00,4.67E-04,1.06E+00
80,9.57E-01,4.13E-04,9.58E-01
90,8.75E-01,3.71E-04,8.75E-01
100,8.08E-01,3.37E-04,8.09E-01
110,7.53E-01,3.08E-04,7.53E-01
120,7.07E-01,2.85E-04,7.07E-01
130,6.67E-01,2.64E-04,6.67E-01
140,6.33E-01,2.47E-04,6.33E-01
150,6.03E-01,2.32E-04,6.03E-01
160,5.76E-01,2.18E-04,5.77E-01
170,5.53E-01,2.06E-04,5.53E-01
180,5.32E-01,1.96E-04,5.32E-01
200,4.97E-01,1.78E-04,4.97E-01
225,4.61E-01,1.59E-04,4.61E-01
250,4.32E-01,1.44E-04,4.32E-01
275,4.08E-01,1.32E-04,4.08E-01
300,3.88E-01,1.22E-04,3.88E-01
325,3.71E-01,1.13E-04,3.72E-01
350,3.57E-01,1.06E-04,3.57E-01
375,3.45E-01,9.92E-05,3.45E-01
400,3.34E-01,9.34E-05,3.34E-01
450,3.16E-01,8.37E-05,3.16E-01
500,3.01E-01,7.59E-05,3.01E-01
550,2.90E-01,6.95E-05,2.90E-01
600,2.80E-01,6.41E-05,2.80E-01
