E,dE/dx (elec),dE/dx (nuc),dE/dx (tot)
1,0.00E+00,0.00E+00,0.00E+00
1.1,0.00E+00,0.00E+00,0.00E+00
1.2,0.00E+00,0.00E+00,0.00E+00
1.3,0.00E+00,0.00E+00,0.00E+00
1.4,0.00E+00,0.00E+00,0.00E+00
1.5,0.00E+00,0.00E+00,0.00E+00
1.6,0.00E+00,0.00E+00,0.00E+00
1.7,0.00E+00,0.00E+00,0.00E+00
1.8,0.00E+00,0.00E+00,0.00E+00
2,0.00E+00,0.00E+00,0.00E+00
2.25,0.00E+00,0.00E+00,0.00E+00
2.5,0.00E+00,0.00E+00,0.00E+00
2.75,0.00E+00,0.00E+00,0.00E+00
3,0.00E+00,0.00E+00,0.00E+00
3.25,0.00E+00,0.00E+00,0.00E+00
3.5,0.00E+00,0.00E+00,0.00E+00
3.75,0.00E+00,0.00E+00,0.00E+00
4,0.00E+00,0.00E+00,0.00E+00
4.5,0.00E+00,0.00E+00,0.00E+00
5,0.00E+00,0.00E+00,0.00E+00
5.5,0.00E+00,0.00E+00,0.00E+00
6,0.00E+00,0.00E+00,0.00E+00
6.5,0.00E+00,0.00E+00,0.00E+00
7,0.00E+00,0.00E+00,0.00E+00
8,0.00E+00,0.00E+00,0.00E+00
9,0.00E+00,0.00E+00,0.00E+00
10,0.00E+00,0.00E+00,0.00E+00
11,0.00E+00,0.00E+00,0.00E+00
12,0.00E+00,0.00E+00,0.00E+00
13,0.00E+00,0.00E+00,0.00E+00
14,0.00E+00,0.00E+00,0.00E+00
15,0.00E+00,0.00E+00,0.00E+00
16,0.00E+00,0.00E+00,0.00E+00
17,0.00E+00,0.00E+00,0.00E+00
18,0.00E+00,0.00E+00,0.00E+00
20,0.00E+00,0.00E+00,0.00E+00
22.5,0.00E+00,0.00E+00,0.00E+00
25,0.00E+00,0.00E+00,0.00E+00
27.5,0.00E+00,0.00E+00,0.00E+00
30,0.00E+00,0.00E+00,0.00E+00
32.5,0.00E+00,0.00E+00,0.00E+00
35,0.00E+00,0.00E+00,0.00E+00
37.5,0.00E+00,0.00E+00,0.00E+00
40,0.00E+00,0.00E+00,0.00E+00
45,0.00E+00,0.00E+00,0.00E+00
50,0.00E+00,0.00E+00,0.00E+00
55,0.00E+00,0.00E+00,0.00E+00
60,0.00E+00,0.00E+00,0.00E+00
65,0.00E+00,0.00E+00,0.00E+00
70,0.00E+00,0.00E+00,0.00E+00
80,0.00E+00,0.00E+00,0.00E+00
90,0.00E+00,0.00E+00,0.00E+00
100,0.00E+00,0.00E+00,0.00E+00
110,0.00E+00,0.00E+00,0.00E+00
120,0.00E+00,0.00E+00,0.00E+00
130,0.00E+00,0.00E+00,0.00E+00
140,0.00E+00,0.00E+00,0.00E+00
150,0.00E+00,0.00E+00,0.00E+00
160,0.00E+00,0.00E+00,0.00E+00
170,0.00E+00,0.00E+00,0.00E+00
180,0.00E+00,0.00E+00,0.00E+00
200,0.00E+00,0.00E+00,0.00E+00
225,0.00E+00,0.00E+00,0.00E+00
250,0.00E+00,0.00E+00,0.00E+00
275,0.00E+00,0.00E+00,0.00E+00
300,0.00E+00,0.00E+00,0.00E+00
325,0.00E+00,0.00E+00,0.00E+00
350,0.00E+00,0.00E+00,0.00E+00
375,0.00E+00,0.00E+00,0.00E+00
400,0.00E+00,0.00E+00,0.00E+00
450,0.00E+00,0.00E+00,0.00E+00
500,0.00E+00,0.00E+00,0.00E+00
550,0.00E+00,0.00E+00,0.00E+00
600,0.00E+00,0.00E+00,0.00E+00
