he4_theta,p_theta
1.95E-09,90
0.0175054,89.949
0.0350108,89.898
0.0525161,89.847
0.0700214,89.796
0.0875266,89.7451
0.105032,89.6941
0.122537,89.6431
0.140042,89.5921
0.157546,89.5411
0.175051,89.4901
0.192555,89.4391
0.21006,89.3881
0.227564,89.3371
0.245067,89.2862
0.262571,89.2352
0.280074,89.1842
0.297577,89.1332
0.31508,89.0822
0.332582,89.0312
0.350084,88.9802
0.367586,88.9293
0.385087,88.8783
0.402588,88.8273
0.420088,88.7763
0.437588,88.7253
0.455088,88.6743
0.472587,88.6233
0.490086,88.5724
0.507584,88.5214
0.525082,88.4704
0.542578,88.4194
0.560075,88.3684
0.577571,88.3175
0.595066,88.2665
0.612561,88.2155
0.630055,88.1645
0.647548,88.1135
0.665042,88.0626
0.682533,88.0116
0.700025,87.9606
0.717516,87.9096
0.735006,87.8587
0.752495,87.8077
0.769984,87.7567
0.787471,87.7058
0.804958,87.6548
0.822444,87.6038
0.839929,87.5528
0.857413,87.5019
0.874897,87.4509
0.892379,87.3999
0.909861,87.349
0.927342,87.298
0.944822,87.247
0.9623,87.1961
0.979778,87.1451
0.997255,87.0942
1.01473,87.0432
1.03221,86.9922
1.04968,86.9413
1.06715,86.8903
1.08462,86.8394
1.10209,86.7884
1.11956,86.7375
1.13703,86.6865
1.1545,86.6356
1.17196,86.5846
1.18943,86.5337
1.20689,86.4827
1.22435,86.4318
1.24181,86.3808
1.25927,86.3299
1.27673,86.2789
1.29419,86.228
1.31164,86.1771
1.3291,86.1261
1.34655,86.0752
1.364,86.0242
1.38145,85.9733
1.3989,85.9224
1.41635,85.8714
1.4338,85.8205
1.45124,85.7696
1.46868,85.7187
1.48612,85.6677
1.50356,85.6168
1.521,85.5659
1.53844,85.515
1.55587,85.464
1.57331,85.4131
1.59074,85.3622
1.60817,85.3113
1.6256,85.2604
1.64303,85.2095
1.66045,85.1586
1.67787,85.1077
1.6953,85.0567
1.71272,85.0058
1.73013,84.9549
1.74755,84.904
1.76497,84.8531
1.78238,84.8022
1.79979,84.7513
1.8172,84.7005
1.83461,84.6496
1.85201,84.5987
1.86942,84.5478
